City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Auki,SB,80.58,overcast clouds,-8.7676,160.7034,Auki Motel
4,Rikitea,PF,76.59,light rain,-23.1203,-134.9692,People ThankYou
5,Vila Velha,BR,75.15,mist,-20.3297,-40.2925,Quality Suites Vila Velha
11,Atuona,PF,78.64,clear sky,-9.8,-139.0333,Villa Enata
12,Quatre Cocos,MU,78.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
17,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
18,Poso,ID,78.19,heavy intensity rain,-1.3959,120.7524,Hotel 77 Poso
19,Butaritari,KI,82.47,broken clouds,3.0707,172.7902,Isles Sunset Lodge
23,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
26,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
31,San Patricio,US,84.61,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
34,Port Blair,IN,79.29,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
36,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
44,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
45,Shakawe,BW,82.78,broken clouds,-18.3667,21.85,Ditlhapi Guest House
51,Vallenar,CL,81.54,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
53,Orange Cove,US,76.44,scattered clouds,36.6244,-119.3137, 
56,Omboue,GA,76.66,light rain,-1.5746,9.2618,Hotel Olako
59,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
61,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
62,Sinnamary,GF,78.48,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
66,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
69,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
80,Lokoja,NG,82.85,scattered clouds,7.8024,6.743,Hotel Charvid
81,Samarai,PG,81.66,broken clouds,-10.6167,150.6667,Nuli Sapi
90,Dosso,NE,78.64,scattered clouds,13.049,3.1937,Hotel Toubal
94,Horn Lake,US,76.03,broken clouds,34.9554,-90.0348,"Hilton Garden Inn Memphis/Southaven, MS"
98,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
101,Faanui,PF,81.68,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
114,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
116,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
117,Hobyo,SO,78.66,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
119,Isabela,PH,79.29,overcast clouds,6.7085,121.9711,Isawad Resort
123,Tual,ID,83.28,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
124,Sola,VU,81.9,broken clouds,-13.8833,167.55,Leumerus Bungalows
125,Mogadishu,SO,79.79,clear sky,2.0371,45.3438,Hotel Juba
129,Ixtapa,MX,89.26,clear sky,20.7,-105.2,Hotel Plaza Providencia
130,Hithadhoo,MV,81.34,clear sky,-0.6,73.0833,Scoop Guest House
131,Dubai,AE,76.21,few clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
133,San Pedro,PH,75.09,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
134,Howard Springs,AU,82.31,overcast clouds,-12.497,131.047,buffalo beach hostel
137,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
142,Hilo,US,82.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
148,Dutlwe,BW,82.08,scattered clouds,-23.9833,23.9, 
149,Gorontalo,ID,75.45,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
156,Goundi,TD,80.83,broken clouds,9.3627,17.366, 
160,Kalabo,ZM,80.78,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
166,Aloleng,PH,77.34,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
169,Inhambane,MZ,76.14,few clouds,-23.865,35.3833,Oceano
183,Pauini,BR,77.88,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
188,Maracacume,BR,77.05,heavy intensity rain,-2.0428,-45.9592,Hotel Ramos
189,Orotina,CR,84.96,broken clouds,9.912,-84.5234,Hotel Iguana Verde
194,Bintulu,MY,75.61,light rain,3.1667,113.0333,900 Boutique INN
195,Bubaque,GW,82.09,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Vao,NC,76.35,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
209,Sao Filipe,CV,75.63,broken clouds,14.8961,-24.4956,Hotel Xaguate
211,Key West,US,75.99,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
217,Augusto Correa,BR,78.55,light rain,-1.0217,-46.635,Fazenda Bacuri
219,Kismayo,SO,79.97,broken clouds,-0.3582,42.5454,Agan-Hotel
221,Kieta,PG,81.59,clear sky,-6.2167,155.6333,Uruna Bay Retreat
222,Makakilo City,US,77.61,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
223,Pontal Do Parana,BR,76.73,clear sky,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
228,Laguna,US,76.23,fog,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
232,Kendari,ID,75.56,overcast clouds,-3.945,122.4989,Hotel Wixel
233,Iberia,US,76.08,clear sky,29.9502,-91.7507,back to back rv park
234,Thinadhoo,MV,81.66,few clouds,0.5333,72.9333, 
236,Salinopolis,BR,79.9,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
240,Malindi,KE,79.23,light rain,-3.2175,40.1191,African House Resort
248,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
249,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
250,Bengkulu,ID,76.59,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
257,Soure,BR,80.35,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
258,Avera,US,80.71,few clouds,33.194,-82.5271, 
259,Kerema,PG,79.07,overcast clouds,-7.9631,145.7785,Frena Lodge
260,Boffa,GN,81.5,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
263,Champoton,MX,77.68,overcast clouds,19.35,-90.7167,HOTEL Posada La Regia
264,Florida,US,76.08,clear sky,28.7505,-82.5001,Sportsmens Cove
265,Alugan,PH,78.31,overcast clouds,12.2188,125.4808,JM Lodge
268,Kattivakkam,IN,78.08,overcast clouds,13.2167,80.3167,Euronova Freezer
269,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
273,Coronado,US,76.5,scattered clouds,32.6859,-117.1831,El Cordova Hotel
276,Benguela,AO,77.7,light rain,-12.5763,13.4055,Hotel Praia Morena
279,Diego De Almagro,CL,79.7,few clouds,-26.3667,-70.05,hotel luna del desierto
281,Byron Bay,AU,76.05,scattered clouds,-28.65,153.6167,Backpackers Inn
283,Ahuimanu,US,79.45,light rain,21.4447,-157.8378,Paradise Bay Resort
284,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
289,Moron,AR,77.02,scattered clouds,-34.6534,-58.6198,Hotel Morón
296,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
300,Bambanglipuro,ID,77.38,overcast clouds,-7.95,110.2833,Puri Brata
302,Coruripe,BR,79.7,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
309,Ouargaye,BF,83.62,clear sky,11.5033,0.0572,Résidence le Cotonnier
319,Cururupu,BR,77.34,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
321,Masuguru,TZ,77.54,scattered clouds,-11.3667,38.4167, 
325,Mabaruma,GY,79.32,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
326,Grand-Santi,GF,75.65,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
327,Meulaboh,ID,75.87,overcast clouds,4.1363,96.1285,Kost Pria
336,Jutai,BR,77.47,moderate rain,-5.1833,-68.9, 
345,Mareeba,AU,76.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
347,Sokoto,NG,77.95,scattered clouds,13.0609,5.239,Giginya Coral Hotel
349,La Asuncion,VE,87.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
358,Kavieng,PG,82.8,broken clouds,-2.5744,150.7967,Nusa Island Retreat
363,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
370,Okitipupa,NG,78.21,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
372,Brokopondo,SR,78.03,scattered clouds,4.75,-55.1667,Matu Island
373,Bolgatanga,GH,83.41,scattered clouds,10.7856,-0.8514,Mama's Place
379,North Myrtle Beach,US,78.03,clear sky,33.816,-78.68,Avista Resort
384,Parakou,BJ,80.19,overcast clouds,9.3372,2.6303,Benin Metropole Hotel
388,Maningrida,AU,83.71,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
389,San Carlos,VE,87.13,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
391,Brenham,US,81.43,scattered clouds,30.1669,-96.3977,Hampton Inn & Suites Brenham
398,Lagos,NG,84.52,overcast clouds,6.5833,3.75, 
400,Morondava,MG,80.76,scattered clouds,-20.2833,44.2833,La Case Bambou
401,Aripuana,BR,77.05,overcast clouds,-9.1667,-60.6333, 
407,Lethem,GY,86.97,overcast clouds,3.3803,-59.7968,Savannah Inn
409,Wukari,NG,81.43,broken clouds,7.85,9.7833,Elimtop
413,Makaha,US,79.65,heavy intensity rain,21.4694,-158.2175,Hawaiian Princess Resort
415,Itaituba,BR,80.76,scattered clouds,-4.2761,-55.9836,Hotel Campos
417,Progreso,MX,77.68,broken clouds,21.2833,-89.6667,Playa Linda Hotel
421,Namatanai,PG,81.18,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
427,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
435,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
439,Maraba,BR,80.78,broken clouds,-5.3686,-49.1178,Hotel Del Principe
442,Kavaratti,IN,81.09,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
443,Anton Lizardo,MX,84.22,clear sky,19.05,-95.9833,Hotel CocoAventura
444,Biltine,TD,77.29,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
450,Araioses,BR,82.13,broken clouds,-2.89,-41.9031,Pousada Vale do magu
452,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
455,Fare,PF,81.37,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
460,Hambantota,LK,77.74,heavy intensity rain,6.1241,81.1185,Bungalow 63
462,Formosa,AR,89.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
463,Mana,GF,79.02,few clouds,5.6592,-53.7767,LE SAMANA
474,Padang,ID,78.22,moderate rain,-0.9492,100.3543,Mercure Padang
475,Caravelas,BR,75.76,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
476,Cockburn Town,TC,79.92,clear sky,21.4612,-71.1419,Osprey Beach Hotel
477,Luanda,AO,78.8,light rain,-8.8368,13.2343,Hotel Fórum
479,Lorengau,PG,83.17,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
480,Bell Ville,AR,82.8,overcast clouds,-32.6259,-62.6887,Hotel Central
481,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
483,Kudahuvadhoo,MV,82.02,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
486,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
488,Otukpo,NG,80.71,broken clouds,7.1913,8.1329,Queen s Hotel
492,Blackwater,AU,77.16,clear sky,-23.5833,148.8833,Blackwater Motor Inn
493,Rincon,US,80.78,few clouds,32.296,-81.2354,Days Inn Rincon
503,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Posada Villaven C.A.
504,Trinidad,BO,85.98,heavy intensity rain,-14.8333,-64.9,Hotel Piesta
