City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Course Description
0,Auki,SB,2021-12-03 20:45:43,-8.7676,160.7034,80.58,79,100,1.45,overcast clouds
1,Hobart,AU,2021-12-03 20:45:44,-42.8794,147.3294,53.02,76,75,1.01,broken clouds
2,Port Alfred,ZA,2021-12-03 20:44:36,-33.5906,26.891,64.29,76,100,7.25,overcast clouds
3,Chokurdakh,RU,2021-12-03 20:45:44,70.6333,147.9167,-20.33,94,100,13.38,overcast clouds
4,Rikitea,PF,2021-12-03 20:44:20,-23.1203,-134.9692,76.59,74,64,14.32,light rain
5,Vila Velha,BR,2021-12-03 20:45:45,-20.3297,-40.2925,75.15,95,90,5.01,mist
6,Den Helder,NL,2021-12-03 20:45:46,52.9599,4.7593,46.38,96,75,8.01,broken clouds
7,New Norfolk,AU,2021-12-03 20:44:22,-42.7826,147.0587,52.66,67,98,5.01,overcast clouds
8,Airai,TL,2021-12-03 20:45:46,-8.9266,125.4092,61.0,88,86,3.13,overcast clouds
9,Albany,US,2021-12-03 20:41:28,42.6001,-73.9662,36.81,50,2,1.01,clear sky
10,Kodiak,US,2021-12-03 20:45:47,57.79,-152.4072,9.91,85,1,4.61,clear sky
11,Atuona,PF,2021-12-03 20:45:48,-9.8,-139.0333,78.64,73,5,17.0,clear sky
12,Quatre Cocos,MU,2021-12-03 20:45:49,-20.2078,57.7625,78.1,76,9,12.55,clear sky
13,Tasiilaq,GL,2021-12-03 20:45:49,65.6145,-37.6368,23.16,57,83,6.93,broken clouds
14,Ankang,CN,2021-12-03 20:45:50,32.68,109.0172,42.49,67,0,1.34,clear sky
15,Ushuaia,AR,2021-12-03 20:45:50,-54.8,-68.3,56.86,38,75,20.71,broken clouds
16,Port Macquarie,AU,2021-12-03 20:45:28,-31.4333,152.9167,70.9,94,40,0.0,scattered clouds
17,Port Moresby,PG,2021-12-03 20:45:51,-9.4431,147.1797,76.42,94,40,4.61,scattered clouds
18,Poso,ID,2021-12-03 20:45:51,-1.3959,120.7524,78.19,84,99,4.05,heavy intensity rain
19,Butaritari,KI,2021-12-03 20:45:52,3.0707,172.7902,82.47,70,69,14.14,broken clouds
20,Busselton,AU,2021-12-03 20:44:23,-33.65,115.3333,52.05,80,0,11.43,clear sky
21,Cape Town,ZA,2021-12-03 20:41:11,-33.9258,18.4232,63.12,63,20,5.01,few clouds
22,Ancud,CL,2021-12-03 20:45:53,-41.8697,-73.8203,63.93,63,2,4.97,clear sky
23,Arraial Do Cabo,BR,2021-12-03 20:44:19,-22.9661,-42.0278,75.16,73,75,9.22,broken clouds
