City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tual,ID,2021-11-30 01:39:31,-5.6667,132.75,84.15,68,72,2.89
1,Rikitea,PF,2021-11-30 01:37:31,-23.1203,-134.9692,76.44,78,5,20.33
2,Ushuaia,AR,2021-11-30 01:39:31,-54.8,-68.3,44.26,65,75,28.77
3,Kahului,US,2021-11-30 01:37:42,20.8947,-156.47,80.62,70,20,20.71
4,Hobart,AU,2021-11-30 01:35:06,-42.8794,147.3294,80.02,34,20,1.99
5,Bilma,NE,2021-11-30 01:39:32,18.6853,12.9164,69.22,32,72,14.36
6,Guerrero Negro,MX,2021-11-30 01:39:33,27.9769,-114.0611,65.55,70,0,10.85
7,Grand Forks,US,2021-11-30 01:39:33,47.9417,-97.4337,39.13,83,75,10.36
8,Pevek,RU,2021-11-30 01:39:34,69.7008,170.3133,-8.3,99,68,3.94
9,Butaritari,KI,2021-11-30 01:39:34,3.0707,172.7902,81.32,80,61,10.36
10,Hermanus,ZA,2021-11-30 01:39:35,-34.4187,19.2345,61.9,85,76,9.71
11,Fortuna,US,2021-11-30 01:36:08,40.5982,-124.1573,52.41,67,69,4.45
12,Millinocket,US,2021-11-30 01:39:35,45.6573,-68.7098,23.36,68,75,5.75
13,Port Elizabeth,ZA,2021-11-30 01:39:36,-33.918,25.5701,63.1,84,35,10.09
14,Bluff,NZ,2021-11-30 01:39:36,-46.6,168.3333,61.81,75,92,6.04
15,Saint George,US,2021-11-30 01:39:37,37.1041,-113.5841,59.59,31,1,0.0
16,Kassala,SD,2021-11-30 01:39:37,15.451,36.4,77.04,42,4,8.1
17,Wanxian,CN,2021-11-30 01:39:38,30.8039,108.3897,52.79,69,0,2.98
18,Svetlaya,RU,2021-11-30 01:39:38,46.5389,138.3297,29.55,60,100,0.96
19,Saskylakh,RU,2021-11-30 01:39:39,71.9167,114.0833,-28.35,100,88,4.14
20,La Tuque,CA,2021-11-30 01:37:31,47.4334,-72.7824,21.45,68,78,0.0
21,Klaksvik,FO,2021-11-30 01:39:40,62.2266,-6.589,34.72,58,100,6.08
22,Narsaq,GL,2021-11-30 01:39:40,60.9167,-46.05,34.02,99,100,7.99
23,Vila Franca Do Campo,PT,2021-11-30 01:39:41,37.7167,-25.4333,61.2,76,73,5.28
24,East London,ZA,2021-11-30 01:39:41,-33.0153,27.9116,67.08,89,100,5.55
25,Chokurdakh,RU,2021-11-30 01:39:42,70.6333,147.9167,-13.86,99,100,3.65
26,Goderich,CA,2021-11-30 01:35:19,43.7501,-81.7165,36.91,64,100,6.91
27,Alta Floresta,BR,2021-11-30 01:39:42,-9.8756,-56.0861,70.72,98,91,1.03
28,Sarakhs,IR,2021-11-30 01:39:43,36.5449,61.1577,51.06,49,15,2.04
29,Arraial Do Cabo,BR,2021-11-30 01:38:22,-22.9661,-42.0278,74.48,90,5,23.49
30,Victoria,HK,2021-11-30 01:39:43,22.2855,114.1577,74.03,62,1,1.99
31,Golubitskaya,RU,2021-11-30 01:39:44,45.3222,37.2822,55.81,87,100,24.92
32,Pacific Grove,US,2021-11-30 01:38:16,36.6177,-121.9166,67.24,86,1,1.99
33,Ilulissat,GL,2021-11-30 01:39:45,69.2167,-51.1,30.22,93,75,3.44
34,Punta Arenas,CL,2021-11-30 01:38:24,-53.15,-70.9167,48.31,66,75,13.8
